-philia	['-philie']
water pollution	['Gewässerverschmutzung']
wy	['']
jizya	['Dschizya', 'Dschisja']
lock	['Lock', 'Schleuse', 'blockieren', 'Locke', 'Schloss', 'Schiffshebewerk', 'abschließen']
exclamation mark	['Ausrufezeichen']
willy-nilly	['volens nolens', 'wohl oder übel']
biotechnology	['Biotechnologie', 'Biotechnik']
Brunswick	['Braunschweig']
high technology	['Spitzentechnologie', 'Hightech', 'Hochtechnologie', 'Hochtechnik']
repulsive	['abweisend', 'abstoßend', 'widerlich']
evolutionary theory	['Deszendenztheorie', 'Abstammungslehre', 'Deszendenzlehre', 'Evolutionslehre', 'Entwicklungslehre', 'Evolutionstheorie', 'Abstammungstheorie']
double sheet bend	['Doppelte Schotstek']
hippiater	['Rossarzt', 'Rossärztin', 'Pferdearzt', 'Pferdeärztin']
Japanese	['japanisch', 'Japaner', 'Japanisch']
morion	['Morion']
cholangitis	['Cholangitis']
guardrail	['Leitplanke', 'Schutzplanke', 'Geländer', 'Leitlinie']
individually	['individuell', 'einzeln']
yell	['schreien']
embryo	['Embryo']
orthonitrate	['Orthonitrat']
beef up	['']
manicure	['Maniküre']
paleography	['Paläographie', 'Paläografie']
ion	['Ion']
liocranid sac spider	['Feldspinne']
depot	['Depot']
blended family	['Patchworkfamilie']
lev	['Lew']
shelter	['Obdach', 'Zufluchtsort', 'Zuflucht']
backtalk	['Widerworte']
festschrift	['Festschrift']
flame	['anmachen', 'Lohe', 'Flamme']
cauldron	['Kessel']
racquet	['Schläger']
destroyer	['Zerstörer']
no offense	['nehmen Sie es mir nicht übel', 'nichts für ungut', 'nimm es mir nicht übel']
break ranks	['aus der Reihe treten', 'aus der Reihe tanzen']
every	['jede', 'jedes', 'jeder']
natural selection	['natürliche Selektion', 'natürliche Auslese', 'natürliche Zuchtwahl']
diapir	['Diapir']
meninges	['Hirnhaut']
Malé	['Malé']
bandgap	['Bandlücke']
cherry blossom	['Kirschblüte']
get down	['']
dieldrin	['Dieldrin']
Last Judgment	['Jüngstes Gericht']
ex officio	['amtswegig', 'kraft Amtes']
Caucasology	['Kaukasiologie']
authentication	['Authentifikation']
monopolize	['beherrschen', 'monopolisieren']
kidney vetch	['Wundklee']
whence	['woher', 'woher; woher']
barrage	['Sperrfeuer']
accrual	['abgegrenzte Schulden', 'Rechnungsabgrenzungsposten', 'Zuwachs', 'Abgrenzungsposten']
many thanks	['vielen Dank', 'besten Dank']
game over	['Game over']
consular	['konsularisch']
longhouse	['']
oblige	['einen Gefallen tun', 'verpflichten']
obsessed	['besessen']
meiosis	['Meiose']
Tyr	['Tyr']
up to	['bis zu']
cluck	['gackern', 'Gackern']
premier	['', 'Ministerpräzident']
maggot	['Made', 'Fleischmade']
Santonian	['Santonium']
imageable	['abbildbar']
freethinker	['Freidenkerin', 'Freidenker']
shitty	['', 'Scheiss-', 'beschissen']
dredge	['Baggermaschine']
sixteenth note	['']
Turkey	['Türkei']
pushy	['zudringlich', 'aggressiv', 'aufdringlich']
reliably	['verlässlich', 'zuverlässig']
Bridget	['Brigitte']
pasteboard	['Karton', 'Pappkarton']
heat capacity	['Wärmekapazität']
bijection	['Bijektion']
Brythonic	['britannisch']
injury time	['Nachspielzeit']
insipid	['stumpfsinnig', 'abgestanden', 'geistlos', 'geschmacklos', 'lasch', 'fade', 'charakterlos']
flatten	['plattmachen', 'flachmachen', 'plätten', 'planieren']
vyshyvanka	['Wyschywanka']
day laborer	['Tagelöhnerin', 'Tagelöhner']
pantheon	['Pantheon']
olfactory	['geruchlich']
inextricable	['unentwirrbar']
learning	['Kenntnis', 'Gelehrsamkeit', 'Lernen']
Fabergé egg	['Fabergé-Ei']
third-party	['von Dritten']
Qatar	['Katar']
Columba	['Taube']
clairvoyant	['Hellseher', 'präkognitiv', 'Weissagerin', 'hellseherisch', 'Seherin', 'Wahrsager', 'Hellseherin', 'Wahrsagerin', 'Weissager', 'Seher']
resonate	['nachhallen']
one-up	['um eine Nasenlänge voraus sein']
hnn	['']
stanene	['Stanen']
Alsace	['Elsass', 'Elsaß']
by the time	['']
arsenal	['Waffenlager', 'Waffenvorrat', 'Waffenkammer', 'Arsenal', 'Zeughaus']
oil rig	['Bohrturm']
swage	['Form', 'stanzen', 'Stempel', 'gesenkformen', 'kneten', 'Stanze', 'Formgesenk', 'stauchen', 'pressen', 'Gesenk', 'Schmiedegesenk', 'sicken', 'gesenkschmieden', 'gesenkdrücken', 'fassonschmieden', 'rundhämmern', 'verjüngen', 'Formwerkzeug', 'Matrize', 'tiefziehen', 'prägen']
tights	['Strumpfhose']
axe	['Korb', 'Streitaxt', 'Axt']
New Holland	['Neuholland']
suffer	['', 'leiden', 'erleiden']
multiuser	['Mehrbenutzer']
fighter pilot	['Kampfflieger', 'Jagdflieger ; Kampfpilot']
gnaw	['umtreiben', 'beschäftigen', 'nagen', 'kauen', 'knabbern', 'verfolgen']
disappear	['verschwinden lassen', 'zum Verschwinden bringen', 'verschwinden', 'entschwinden']
fine arts	['schöne Künste', 'bildende Künste']
batch file	['Batchdatei']
catastrophically	['katastrophal']
relegate	['herabstufen', 'absteigen lassen', 'degradieren', 'zuweisen', 'zurückstufen', 'verbannen', 'zurückversetzen', 'absetzen', 'fortschicken', 'einstufen', 'herabsetzen', 'relegieren']
parable	['Gleichnisrede', 'Gleichnis', 'Parabel', 'Gleichniserzählung']
wyvern	['Lindwurm']
Thanksgiving Day	['']
caustic	['', 'sarkastisch', 'ätzend', 'bissig', 'zersetzend', 'scharf', 'Ätzmittel', 'beißend']
uniform continuity	['gleichmäßige Stetigkeit']
forefathers	['Vorfahren', 'Vorväter']
rabble	['Pöbel']
concupiscence	['Gelüst', 'Begehren']
voting system	['Wahlsystem']
Sudan	['Sudan']
choroid	['Aderhaut']
Varsovian	['Warschauerin', 'Warschauer']
language	['Sprache', 'Jargon', 'Sprachen']
infanteer	['']
theistic	['theistisch']
landfill	['Müll', 'Müllhalde', 'ablagern', 'Mülldeponie', 'deponieren', 'Deponie']
ostrich	['Strauß']
Eastern Armenian	['Ostarmenisch']
ithyphallic	['ithyphallisch']
glaucoma	['Grüner Star', 'Glaukom']
public speaking	['']
cash in	['']
narrative	['erzählerisch', 'in erzählender Form darlegend', 'erzählend', 'Darstellung']
comprehend	['erfassen', 'einsehen', 'umfassen', 'begreifen', 'verstehen']
four-legged	['vierbeinig']
Pompeii	['Pompeji']
curvy	['']
Gustave	['']
bedpan	['Steckbecken', 'Schieber', 'Bettschüssel', 'Bettpfanne', 'Stechbecken']
maroon	['Bordeauxrot', 'Ausgestossener', 'rötlich braun', 'Kastanienbraun', 'von der Außenwelt abschneiden', 'kastanienbraun', 'aussetzen', 'im Stich lassen', 'Rotbraun', 'Ausgesetzter', 'bordeauxrot', 'Weinrot', 'weinrot']
dioecious	['diözisch']
warm the cockles of someone's heart	['Herz wärmen']
Masoretic	['masoretisch']
promptitude	['']
thirst	['dürsten', 'Durst', 'Durst haben']
Euler's formula	['eulersche Formel']
fatalist	['Fatalist', 'Fatalistin']
flash	['blinken', 'Blitz']
groundspeed	['Geschwindigkeit über Grund']
Pohorje	['Bachergebirge']
travelogue	['Reisebericht']
risk management	['Risikomanagement']
educate	['erziehen', 'ausbilden']
lingual bone	['']
armored	['gepanzert']
Ancient Egypt	['altes Ägypten']
Sibyl	['Sibylle']
synecdochical	['synekdochisch']
ankh	['Anch']
malleable	['biegbar', 'flexibel', 'plastisch', 'verformbar', 'biegsam', 'hämmerbar', 'formbar', 'weich', 'geschmeidig', 'schmiedbar', 'veränderbar', 'gestaltbar', 'veränderlich', 'knetbar', 'beeinflußbar', 'dehnbar']
sloe	['', 'Schlehe', 'Schlehdorn']
reification	['Reifizierung', 'Reifikation', 'Verdinglichung', 'Vergegenständlichung']
Suez Canal Zone	['Sues-Kanal-Zone']
one of a kind	['Unikat', 'einzigartig']
shooting	['Schießen', 'Schießerei']
Flora	['Flora']
immense	['immens']
artisan	['Handwerker']
collaboration	['Kollektivarbeit', 'Kollaboration', 'Zusammenarbeit']
water cannon	['Wasserwerfer', 'WaWe']
exacerbate	['verschlimmern', 'erbittern', 'verschärfen']
lazurite	['']
manoeuvrability	['Manövrierbarkeit', 'Manövrierfähigkeit']
malaise	['Unbehagen', 'Unwohlsein']
repeat offender	['Mehrfachtäter', 'Mehrfachtäterin', 'Wiederholungstäter', 'Wiederholungstäterin']
GPS	['GPS']
rabbit punch	['Nackenschlag', 'Genickschlag']
Newfoundland	['Neufundland']
postman	['']
barfly	['Kneipenhocker']
tee	['Tee', 'Abschlag']
learned	['gelehrt']
Hijra	['Hedschra', 'Hidschra', 'Hegira']
Malay	['Malaiisch', 'malaiisch', 'Malaiie', 'Malaiin']
Blackbeard	['Blackbeard']
sophism	['Sophismus']
womb	['Mutterleib', '', 'Schoß', 'Gebärmutter', 'Uterus']
acherontic	['acherontisch']
foreleg	['Vorderlauf', 'Vorderbein']
housebroken	['']
marina	['Marina']
ecumenic	['']
vitamin D	['Vitamin D']
lexicographic	['lexikografisch']
Internet	['Internet', 'Netz']
all right	['unversehrt', 'super', 'bravo', 'also', 'nun', 'gesund', 'na schön', 'gut', 'in Ordnung', 'schon gut']
analogous	['analog']
meta-	['meta-']
high-beam	['Fernlicht']
capsicum spray	['']
xenobiology	['Xenobiologie']
Hispanophone	['spanischsprachig']
radiology	['Radiologie', 'Röntgenologie']
glomerulus	['Nierenkörperchen']
sling	['Armschlinge', 'Armschlaufe', 'Schleuder', 'Schleudern', 'Schulterriemen', 'schleudern', 'schmeißen']
aptitude	['Begabung', 'Eignung']
Żywiec	['Seipusch', 'Saybusch']
Wolfgang	['Wolfgang']
repute	['Ruf']
post box	['']
alkali	['Alkali']
snooker	['Snooker']
adjustment	['Regulierung', 'Anpassung']
Ecuadorian	['Ecuadorianer', 'ecuadorianisch', 'Ecuadorianerin']
surgically	['chirurgisch']
basketball player	['Basketballer', 'Basketballspieler']
aromaticness	['']
knife	['Messer']
decentralized	['dezentralisiert']
guenon	['Meerkatze']
frond	['Wedel', 'Farnwedel']
archaicism	['']
whelp	['Welpin', 'Welpe', 'jungen', 'Junge werfen', 'werfen', 'wölfen']
palindrome	['Palindrom']
pathologist	['Pathologe']
besiege	['belagern']
goat's-beard	['Bocksbart']
earth	['', 'Festland', 'erden', 'Grund', 'Boden', 'Erde', 'Erdbau', 'Bau', 'Land', 'Erdloch', 'beerdigen']
scimitar horned oryx	['Säbelantilope']
nucleocosmochronology	['Nukleokosmochronologie']
eviscerate	['schwächen', 'Organ entnehmen', 'ausweiden', 'ausnehmen', 'aushöhlen', 'entkräften', 'bedeutungslos machen', 'unterlaufen']
punctual	['pünktlich']
suspicion	['Verdacht', 'Verdächtigung', 'Argwohn']
misanthrope	['Menschenfeind', 'Misanthrop', 'Menschenhasser']
huh	['was', 'hä', 'häh', 'wie']
Balkans	['Balkan']
California	['Kalifornien']
impersonal verb	['unpersönliches Verb', 'unpersönliches Zeitwort', 'impersonales Verb']
once in a while	['ab und zu']
false acacia	['']
grooming	['Coaching', 'Tierpflege', 'Fellpflege', 'Körperpflege', 'Viehputz', 'sich vertraut machen', 'Pferdepflege']
Joel	['Joel']
innocence	['Unschuld']
lay	['laikal', 'ablegen', 'legen', 'flachlegen', 'Laien-']
music stand	['Notenpult', 'Notenständer']
potential	['Potential', 'potenziell', 'möglich', 'potentiell']
Digital Era	['digitales Zeitalter']
sheriff	['Sheriff']
acceptancy	['']
physical quantity	['physikalische Größe']
exception handler	['Ausnahmebehandler']
titian	['Tizianrot', 'tizianrot']
meadowrue	['Wiesenraute']
recount	['erzählen', 'berichten']
seven	['sieben', 'Sieben']
sanding sheet	['Schleifpapierbogen']
socage	['Frondienst', 'Robath']
genesis	['Genesis', 'Genese']
deal with	['sich auseinandersetzen mit', 'behandeln']
wave packet	['Wellenpaket']
legislature	['Legislative', 'gesetzgebende Gewalt']
paradoxical	['paradox']
beddy-bye	['Heia']
drying	['Dörren']
Arabist	['Arabist', 'Arabistin']
badness	['Schlechtigkeit']
sex bomb	['Sexbombe']
virility	['Männlichkeit']
laminated	['laminiert']
oneirologist	['Oneirologin', 'Oneirologe']
scrutinize	['gründlich prüfen', 'hinterfragen', 'gewissenhaft überprüfen']
statistics	['Statistik']
cranny	['Versteck', 'Spalt']
merlin	['Merlin']
entwist	['verflechten', 'umwinden', 'flechten']
unbridgeable	['unüberbrückbar']
divine service	['Gottesdienst']
dissatisfaction	['Unzufriedenheit']
portion	['Teil']
Korean	['Koreaner', 'Koreanisch', 'koreanisch', 'Koreanerin']
amber	['', 'Bernstein', 'Gelb', 'bernsteinen', 'Bernsteingelb']
merlon	['Zinne']
invest	['', 'investieren']
snowless	['schneefrei', 'aper']
tulip tree	['Amerikanischer Tulpenbaum', 'Tulpenbaum']
unsugared	['ungezuckert']
for the sake of	['wegen', 'um ... willen', 'halber']
finger	['', 'Finger']
imprecise	['ungenau']
alga	['Alge']
Saxony	['Sachsen']
family planning	['Familienplanung']
heat death	['Wärmetod']
psyche	['Psyche']
kaput	['kaputt']
avoid	['vermeiden', 'meiden']
Baoulé	['Baule']
disinvite	['']
glitz	['Pomp']
negation	['Negierung', 'Verneinung', 'Negation']
abzyme	['Abzyme']
therefrom	['daher; daher']
flawless	['fehlerlos', 'makellos', 'einwandfrei', 'perfekt']
Germanic	['deutsch klingend', 'Germanisch', 'typisch deutsch', 'germanisch', 'deutsch']
rock music	['Rockmusik']
Pascal	['Pascal']
truss	['Bruchband']
by God	['mein Gott']
Abdul	['Abdul']
assets	['Anlagegüter']
Addis Ababa	['Addis Abeba']
equivocation	['Mehrdeutigkeit', 'Doppeldeutigkeit', 'Wortspiel', 'Zweideutigkeit', 'Wortverdrehung', 'Ambiguität', 'Vieldeutigkeit']
eye contact	['Blickkontakt']
tablet computer	['Tablet-Computer', 'Tafel-Computer', 'Tafel-PC']
stout	['']
piemontite	['Piemontit']
cabstand	['Taxistand']
precursor	['Präkursor', 'Vorläufer', 'Edukt']
aestheticism	['Ästhetizismus']
rip current	['Rippströmung', 'Brandungsrückstrom']
horse	['Pferde', 'Ross', 'Hengstfüllen', 'Hengst', 'Rössel', 'Rössl', 'Stutfüllen', 'Pauschenpferd', 'Stute', 'Einhufer', 'Hengstfohlen', 'Stutfohlen', 'Pferdestute', 'Rössle', 'Kavallerie', 'Gaul', 'Pferdehengst', 'Pferd', 'Roß', 'Stutenfohlen', 'Reiterei', 'Springer', 'Seitpferd', 'Stutenfüllen']
enhydros	['Enhydros']
lunchbox	['Gehänge', 'Brotdose', 'Brotzeitdose']
biannual	['', 'halbjährlich']
chairwoman	['Vorsitzende']
fundamental force	['']
rip	['', 'rippen']
what the fuck	['was auch immer', 'was zum Teufel?', 'was zum Henker']
trans woman	['Trans-Frau', 'Transfrau']
retention	['Erinnerung', 'Behalten', 'Zurückhaltung']
clonus	['Klonus']
pepsin	['Pepsin']
Frisbee	['Frisbee']
scorpion	['Skorpion']
Berlusconism	['Berlusconismus']
dilemma	['Dilemma']
redeemer	['Erlöser']
bash up	['verprügeln', 'verhauen', 'verdreschen']
landlouper	['']
slat	['Lamelle', 'Leiste', 'Streifen']
paleobotany	['Paläozoologie']
give a tinker's damn	['']
foggy	['neblig', 'diesig']
prevarication	['Wahrheitsverzerrung', 'Tatsachenverdrehung', 'Verfehlung', 'Verstoß', 'Ausflucht', 'Übertretung']
overshadow	['überschatten']
difficult	['schwer', 'schwierig']
American bison	['Nordamerikanischer Bison']
dauntless	['furchtlos', 'unerschrocken']
prelude	['Präludium', 'Vorspiel']
tropical	['', 'tropisch']
all	['ganz', 'völlig', 'all', '', 'total', 'jeder', 'alles', 'alle', 'jede', 'vollkommen', 'jedes', 'pro Stück']
cyclostome	['Rundmäuler', 'Zyklostome']
acetal	['Acetal']
court of last resort	['']
exhale	['ausatmen']
pirozhok	['']
Stephen	['Stephan', 'Stefan', 'Stephanus', 'Steffen']
halting problem	['Halteproblem']
ash	['', 'Asche', 'Eschenholz']
inhibition	['Hemmung', 'Unterdrückung']
sexual	['sexuell']
information superhighway	['Datenautobahn']
discrimination	['Unterscheidung', 'Schlechterstellung', 'Diskriminierung']
lemon squeezer	['Zitronenpresse']
private law	['Privatrecht', 'Zivilrecht']
two-legged	['zweibeinig']
have in mind	['vorschweben: I have something in mind — Etwas schwebt mir vor']
Johnny	['Hans', 'Hänsel']
palm syrup	['Palmhonig']
temple	['Tempel', 'Schläfe']
great-grandson	['Urenkel']
subcarrier	['Hilfsträger']
baseband	['Basisband', 'Basisbandübertragung']
Jewish Autonomous Oblast	['Jüdisches Autonomes Gebiet']
moon rock	['Mondgestein']
